stage,seed,suite,model,modes,rho,n_samples,relative_l2_mean,relative_l2_median,mae_mean,mae_median,linf_mean,linf_median,interface_mae_mean,interface_mae_median,far_field_mae_mean,far_field_mae_median,jump_amplitude_error_mean,jump_amplitude_error_median,overshoot_mean,overshoot_median,spurious_jump_error_mean,spurious_jump_error_median,total_variation_error_mean,total_variation_error_median
A,0,iid,plain,4,0.0,32,0.33643693731035107,0.32589892794020875,0.10143768618188934,0.101235747655753,0.41322185818714097,0.4116676525997466,0.30771479348775405,0.3201160028778621,0.05488379004926979,0.051977889311192724,0.8103764922218263,0.8496493274277233,0.09259969866879438,0.09178811687826083,0.73637692558311,0.8890208449553441,0.40002413541452553,0.3576155854471281
A,0,iid,hidden_width_2,4,0.0,32,0.33643693731035107,0.32589892794020875,0.10143768618188934,0.101235747655753,0.41322185818714097,0.4116676525997466,0.30771479348775405,0.3201160028778621,0.05488379004926979,0.051977889311192724,0.8103764922218263,0.8496493274277233,0.09259969866879438,0.09178811687826083,0.73637692558311,0.8890208449553441,0.40002413541452553,0.3576155854471281
A,0,iid,two_channel_fno,4,0.0,32,0.3352758843992817,0.32694930258394556,0.10156040880477261,0.10049381797348467,0.41330326680476553,0.40652612948614275,0.30776405326916695,0.3207879428307888,0.055024940650255816,0.05366760209183434,0.8104705531611938,0.8506057667758389,0.09220961385185152,0.08989504463036531,0.7362915711456575,0.8898964572205428,0.40019876495128215,0.3532137577532426
A,0,iid,shared,4,0.0,32,0.14748197604040386,0.14835437522932363,0.046412357265569894,0.05073064569223724,0.25158713676815736,0.27286521822245524,0.1424719000708148,0.14847742051608226,0.024305646154578836,0.022958870163902252,0.3666830718243544,0.3788715212250251,0.03370118411692832,0.03216982691389364,0.31611511446024143,0.39667618889917183,0.15544577958821032,0.1261132839256417
A,0,iid,shared_learnable_rho,4,0.007920245675298105,32,0.14810203775579248,0.14953542632368144,0.04677279708847201,0.051263990736724746,0.25243631846763226,0.2735767308564713,0.14380414082491055,0.15020468933573766,0.024451944772057678,0.023084515156585765,0.370295969090545,0.38309199248506914,0.03376045387827401,0.032391212405135206,0.31906895342374547,0.40059185783921025,0.15582710589386972,0.12731936339044014
A,0,iid,dual,4,0.0,32,0.15108751772712098,0.1184306571759896,0.039243518511477365,0.03676066120742104,0.21857079163387433,0.22903429624577482,0.1091386862677612,0.09534994414963704,0.022694883740683625,0.01810697445371617,0.18697396484449627,0.19824336387607328,0.06261717213857802,0.03601858735139907,0.181629090683527,0.2027238724907931,0.23697096280573737,0.1784312780044074
A,0,iid,wide_plain,4,0.0,32,0.21789676811901537,0.22216917289822893,0.056020029597260435,0.06075378667580074,0.3501941006728544,0.3465795075927133,0.171207595487868,0.17450658894354365,0.030356232673332362,0.03067638142459881,0.5826956032808536,0.6027126128661184,0.10604627832534541,0.10984513570614005,0.7185799351915849,0.7764105393388736,0.6079111413945416,0.6157488515995572
A,0,iid,plain,8,0.0,32,0.21789676811901537,0.22216917289822893,0.056020029597260435,0.06075378667580074,0.3501941006728544,0.3465795075927133,0.171207595487868,0.17450658894354365,0.030356232673332362,0.03067638142459881,0.5826956032808536,0.6027126128661184,0.10604627832534541,0.10984513570614005,0.7185799351915849,0.7764105393388736,0.6079111413945416,0.6157488515995572
A,0,endpoint_continuous,plain,8,0.0,24,0.0009261054619702395,0.0009261054619702431,0.0004780958343521275,0.0005163699514441622,0.0004780958343521275,0.0005163699514441622,nan,nan,0.0004780958343521275,0.0005163699514441622,nan,nan,nan,nan,0.0,0.0,0.0,0.0
A,0,offgrid,plain,8,0.0,24,0.2942134079568211,0.22095177037601027,0.05730450346622851,0.06215333955930877,0.33361361648703475,0.3669516037298961,0.1811992735201039,0.18511658809255682,0.0318513538178254,0.032458577268356686,0.618049155623923,0.6456378653674906,0.10711716302555284,0.10856014342233944,0.7597552754510816,0.7791110973632127,0.632710003969021,0.5842673748164408
